"Date","Price","Open","High","Low","Vol.","Change %"
"04/26/2024","1,107.90","1,112.15","1,120.00","1,102.75","14.19M","-0.53%"
"04/25/2024","1,113.75","1,090.00","1,125.65","1,089.95","19.91M","1.55%"
"04/24/2024","1,096.75","1,092.25","1,098.40","1,089.00","5.46M","0.60%"
"04/23/2024","1,090.25","1,100.00","1,100.00","1,082.70","9.85M","0.33%"
"04/22/2024","1,086.65","1,078.80","1,088.70","1,070.35","10.35M","1.82%"
"04/19/2024","1,067.25","1,052.95","1,072.00","1,048.10","11.28M","1.12%"
"04/18/2024","1,055.45","1,074.00","1,078.05","1,050.45","16.56M","-1.09%"
"04/16/2024","1,067.05","1,070.55","1,074.60","1,062.70","11.28M","-1.05%"
"04/15/2024","1,078.35","1,100.20","1,106.15","1,076.60","10.53M","-2.36%"
"04/12/2024","1,104.40","1,103.50","1,111.85","1,095.80","12.22M","-0.45%"
"04/10/2024","1,109.40","1,110.95","1,116.55","1,105.15","10.60M","0.21%"
"04/09/2024","1,107.05","1,091.95","1,115.25","1,088.30","12.30M","1.83%"
"04/08/2024","1,087.15","1,078.35","1,091.75","1,076.30","8.02M","0.35%"
"04/05/2024","1,083.40","1,070.00","1,086.00","1,067.45","15.34M","0.42%"
"04/04/2024","1,078.85","1,084.75","1,085.80","1,063.45","21.42M","0.15%"
"04/03/2024","1,077.20","1,075.00","1,083.65","1,072.25","15.48M","-0.37%"
"04/02/2024","1,081.20","1,094.45","1,094.45","1,079.25","14.38M","-1.68%"
"04/01/2024","1,099.65","1,096.05","1,102.95","1,094.45","10.85M","0.58%"
"03/28/2024","1,093.30","1,085.00","1,105.05","1,085.00","22.07M","0.88%"
"03/27/2024","1,083.75","1,083.70","1,092.50","1,079.55","26.91M","0.00%"
"03/26/2024","1,083.70","1,081.00","1,089.15","1,076.95","13.37M","-0.61%"
"03/22/2024","1,090.30","1,081.15","1,093.70","1,078.70","17.21M","0.79%"
"03/21/2024","1,081.80","1,092.00","1,100.00","1,079.15","19.99M","-0.25%"
"03/20/2024","1,084.50","1,080.00","1,090.00","1,067.50","18.73M","0.05%"
"03/19/2024","1,083.95","1,078.45","1,088.75","1,075.25","16.71M","0.25%"
"03/18/2024","1,081.20","1,075.05","1,084.80","1,060.05","8.77M","0.08%"
"03/15/2024","1,080.35","1,072.00","1,086.25","1,070.00","66.19M","-0.30%"
"03/14/2024","1,083.60","1,080.00","1,097.10","1,075.05","14.23M","-0.03%"
"03/13/2024","1,083.95","1,077.15","1,089.65","1,073.15","24.86M","0.66%"
"03/12/2024","1,076.85","1,077.05","1,094.80","1,055.65","21.79M","-0.17%"
"03/11/2024","1,078.70","1,087.95","1,087.95","1,076.75","13.31M","-0.85%"
